x,y,z
0.698970004,0,0.5
0.849485002,0,0.5
1,0,0.5
0,0.263157895,0.286
0.198970004,0.263157895,0.472
0.349485002,0.263157895,0.494
0.5,0.263157895,0.5
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.198970004,0.526315789,0.304
0.349485002,0.526315789,0.434
0.5,0.526315789,0.496
0.698970004,0.526315789,0.5
0.849485002,0.526315789,0.5
1,0.526315789,0.5
0,0.631578947,-0.036
0.198970004,0.631578947,0.118
0.349485002,0.631578947,0.308
0.5,0.631578947,0.46
0.698970004,0.631578947,0.5
0.849485002,0.631578947,0.5
1,0.631578947,0.5
0,0.736842105,-0.052
1,0.526315789,0.5
0,0.631578947,-0.036
0.198970004,0.631578947,0.118
0.349485002,0.631578947,0.308
0.5,0.631578947,0.46
1,0.736842105,0.5
0,0.842105263,-0.212
0.198970004,0.842105263,-0.192
0.349485002,0.842105263,-0.12
0.5,0.842105263,0.004
0.698970004,0.842105263,0.266
0.849485002,0.842105263,0.438
1,0.842105263,0.496
0,0.947368421,-0.32
0.198970004,0.947368421,-0.362
0.198970004,0.842105263,-0.192
0.349485002,0.842105263,-0.12
0.5,0.842105263,0.004
0.698970004,0.842105263,0.266
0.849485002,0.842105263,0.438
1,0.842105263,0.496
0.198970004,1,-0.414
0.349485002,1,-0.454
0.5,1,-0.46
0.698970004,1,-0.478
0.849485002,1,-0.474180735
1,1,-0.49
0.198970004,0.842105263,-0.192
0.349485002,0.842105263,-0.12
0.5,0.842105263,0.004
0.698970004,0.842105263,0.266
0.849485002,0.842105263,0.438
1,0.842105263,0.496
0.198970004,0.631578947,0.118
0.349485002,0.631578947,0.308
0.5,0.631578947,0.46
1,0.736842105,0.5
0,0.842105263,-0.212
0.198970004,0.842105263,-0.192
0.349485002,0.842105263,-0.12
0.5,0.842105263,0.004
0.698970004,0.842105263,0.266
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.198970004,0.526315789,0.304
0.349485002,0.526315789,0.434
0.5,0.526315789,0.496
0.698970004,0.526315789,0.5
0.849485002,0.526315789,0.5
1,0.526315789,0.5
0,0.631578947,-0.036
0.198970004,0.631578947,0.118
0.349485002,0.631578947,0.308
0.698970004,0,0.5
0.849485002,0,0.5
1,0,0.5
0,0.263157895,0.286
0.198970004,0.263157895,0.472
0.349485002,0.263157895,0.494
0.5,0.263157895,0.5
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.198970004,0.526315789,0.304
0.349485002,0.526315789,0.434
0.5,0.526315789,0.496
0.698970004,0.526315789,0.5
0.849485002,0.526315789,0.5
1,0.526315789,0.5
0,0.631578947,-0.036
0.198970004,0.631578947,0.118
0.349485002,0.631578947,0.308
0.5,0.631578947,0.46
0.698970004,0.631578947,0.5
0.849485002,0.631578947,0.5
1,0.631578947,0.5
0,0.736842105,-0.052
1,0.526315789,0.5
0.698970004,0,0.5
0.849485002,0,0.5
1,0,0.5
0,0.263157895,0.286
0.198970004,0.263157895,0.472
0.349485002,0.263157895,0.494
0.5,0.263157895,0.5
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.198970004,0.526315789,0.304
0.349485002,0.526315789,0.434
0.5,0.526315789,0.496
0.698970004,0.526315789,0.5
0.849485002,0.526315789,0.5
1,0.526315789,0.5
0,0.631578947,-0.036
0.198970004,0.631578947,0.118
0.349485002,0.631578947,0.308
0.5,0.631578947,0.46
0.698970004,0.631578947,0.5
0.849485002,0.631578947,0.5
1,0.631578947,0.5
0,0.736842105,-0.052
1,0.526315789,0.5
0.698970004,0,0.5
0.849485002,0,0.5
1,0,0.5
0,0.263157895,0.286
0.198970004,0.263157895,0.472
0.349485002,0.263157895,0.494
0.5,0.263157895,0.5
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.198970004,0.526315789,0.304
0.349485002,0.526315789,0.434
0.5,0.526315789,0.496
0.698970004,0.526315789,0.5
0.849485002,0.526315789,0.5
1,0.526315789,0.5
0,0.631578947,-0.036
0.198970004,0.631578947,0.118
0.349485002,0.631578947,0.308
0.5,0.631578947,0.46
0.698970004,0.631578947,0.5
0.849485002,0.631578947,0.5
1,0.631578947,0.5
0,0.736842105,-0.052
1,0.526315789,0.5
0.698970004,0,0.5
0.849485002,0,0.5
1,0,0.5
0,0.263157895,0.286
0.198970004,0.263157895,0.472
0.349485002,0.263157895,0.494
0.5,0.263157895,0.5
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.698970004,0.263157895,0.5
0.849485002,0.263157895,0.5
1,0.263157895,0.5
0,0.526315789,0.094
0.198970004,0.526315789,0.304
0.349485002,0.526315789,0.434
0.5,0.526315789,0.496
0.698970004,0.526315789,0.5
0.849485002,0.526315789,0.5
1,0.526315789,0.5
0,0.631578947,-0.036
0.198970004,0.631578947,0.118
0.349485002,0.631578947,0.308
0.5,0.631578947,0.46
0.698970004,0.631578947,0.5
0.849485002,0.631578947,0.5
1,0.631578947,0.5
0,0.736842105,-0.052
1,0.526315789,0.5
